"tanggal","platform","komentar","likes","sentimen"
"2025-05-04","Twitter","Suka banget sama lagu barunya, earworm seharian!","563","positif"
"2025-07-15","Twitter","Fans JKT48 paling solid, komunitas yang luar biasa.","864","positif"
"2025-07-11","Twitter","Aku kecewa sama keputusan lineup senbatsu kali ini, tidak adil rasanya.","407",""
"2025-05-29","Instagram","JKT48 keren banget! Performnya selalu memukau setiap kali nonton.","919",""
"2025-07-29","Twitter","Meet and greet tadi menyenangkan sekali, member-nya ramah dan hangat.","865","positif"
"2025-05-14","Instagram","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","189","positif"
"2025-05-06","Instagram","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","1494","positif"
"2025-05-11","Instagram","Streaming concert online tersedia bagi yang tidak bisa hadir langsung.","1130","netral"
"2025-07-13","Instagram","Vokal mereka makin stabil dan kuat, improvement banget!","393",""
"2025-06-07","Twitter","Semangat terus ya JKT48, kalian selalu bikin hari lebih cerah!","163",""
"2025-06-05","Instagram","Foto behind the scene event sudah diupload ke akun resmi.","928",""
"2025-06-17","Twitter","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","727","positif"
"2025-07-17","Twitter","Lagu itu lumayan, tapi bisa lebih baik menurut selera aku.","1300","netral"
"2025-06-18","Instagram","Respon customer service sangat lambat, sudah 3 hari belum ada balasan.","552",""
"2025-07-27","Twitter","Fans JKT48 paling solid, komunitas yang luar biasa.","664",""
"2025-05-05","Twitter","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","646","positif"
"2025-05-28","Instagram","Respon customer service sangat lambat, sudah 3 hari belum ada balasan.","1342","negatif"
"2025-05-19","Instagram","Foto behind the scene event sudah diupload ke akun resmi.","542","netral"
"2025-07-14","Instagram","Member baru sudah mulai aktif di media sosial resmi mereka.","877",""
"2025-05-29","Instagram","JKT48 keren banget! Performnya selalu memukau setiap kali nonton.","283","positif"
"2025-05-20","Twitter","Line-up anniversary tahun ini cukup padat dengan berbagai kegiatan.","1285","netral"
"2025-06-19","Twitter","Streaming concert online tersedia bagi yang tidak bisa hadir langsung.","781",""
"2025-07-10","Instagram","Outfit handshake event kali ini estetik banget, tim stylist keren!","23",""
"2025-07-22","Instagram","Outfit handshake event kali ini estetik banget, tim stylist keren!","696","positif"
"2025-06-03","Twitter","Suara kurang stabil di bagian live, perlu lebih banyak latihan.","1025",""
